subject_line
Annual leave request
Approve timesheet entry
Benefits enrollment period
Branding assets request
Budget forecast update
Calendar invite missing
Cancelled meeting notice
Change in location
Change request form
Checklist for end-of-quarter
Client call rescheduled
Client onboarding checklist
Client presentation slides
Company-wide event invitation
Compliance training reminder
Confirm meeting attendance
Contract Status check
Data privacy training
Draft version of pitch
Event registration confirmation
Expense report due
Expense report overdue
Feedback on onboarding
Feedback request: survey
Final draft due
Finalize team roster
Follow-up on design
Hardware upgrade notice
Hiring status update
Holiday schedule posted
IT equipment check-out
IT helpdesk ticket
Internal audit scheduled
Internal newsletter draft
Invoice approval needed
KPI targets review
Late submission policy
Leave balance summary
Marketing strategy draft
Meeting notes attached
Minutes from meeting
Monthly metrics dashboard
Monthly strategy session
New HR policy
New client onboarded
New hire paperwork
New login procedure
New project kickoff
New seating chart
New security badge
Office hours update
Office kitchen cleaning
Office supply request
Onboarding flow final
Performance goals review
Policy changes summary
Power outage alert
Procurement policy update
Project deadline reminder
Proposal deadline extended
Proposal submission instructions
Q3 planning spreadsheet
Quarterly budget review
Reminder: Friday all-hands
Reminder: code freeze
Reminder: submit timesheets
Reminder: update contact
Remote work approval
Report on system downtime
Required reading assignment
Schedule performance review
Schedule team lunch
Send presentation deck
Server upgrade scheduled
Slack channel archive
Staff directory update
Status update: marketing
Submit agenda items
Submit feedback form
Submit project proposal
Submit travel receipts
System access request
System maintenance notification
Team outing details
Team photo tomorrow
Team recognition nominations
Time-off request approved
Training certificate issued
Training session invite
Travel reimbursement guidelines
Upcoming interview schedule
Update on project
Updated contact directory
Updated project brief
Updated supplier contacts
Updated timesheet template
Upload signed contract
Weekly meeting agenda
Weekly support ticket
Welcome new members
